# ----------------------------------------
# A7 Laundry USA
# Formato livre-Formato livre 1
# 20260622-20260721
# ----------------------------------------

Categoria de dispositivo,mobile,desktop,Totais
Data,Usuários ativos,Usuários ativos,Usuários ativos
,42,26,68,Total geral
20260703,1,7,8
20260718,5,2,7
20260712,6,0,6
20260702,2,3,5
20260704,2,3,5
20260707,3,2,5
20260706,2,2,4
20260710,4,0,4
20260711,4,0,4
20260716,2,2,4
20260720,2,2,4
20260709,1,2,3
20260714,3,0,3
20260701,0,2,2
20260708,2,0,2
20260715,2,0,2
20260721,1,1,2
20260705,0,1,1
20260713,1,0,1
20260717,1,0,1
20260719,1,0,1

