# ----------------------------------------
# Eventos: Nome do evento
# Conta: A7 Laundry USA
# Propriedade: A7 Laundry USA
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260622
# Data de término: 20260721
Nome do evento,Contagem de eventos,Total de usuários,Contagem de eventos por usuário ativo,Receita total
page_view,115,68,1.6911764705882353,0
session_start,100,68,1.4705882352941178,0
page_view_typed,72,53,1.3584905660377358,0
first_visit,68,68,1,0
user_engagement,55,30,1.896551724137931,0
scroll,19,12,1.5833333333333333,0
whatsapp_click,19,15,1.2666666666666666,0
blog_pageview,17,8,2.125,0
click,17,12,1.4166666666666667,0
service_page_view,16,7,2.2857142857142856,0
estimator_interact,10,1,10,0
scroll_depth,10,3,3.3333333333333335,0
nav_cta,5,5,1,0
pricing_cta,5,5,1,0
wa_fab_click,5,4,1.25,0
money_page_view,4,2,2,0
call_click,3,1,3,0
phone_call,3,1,3,0
estimator_book,1,1,1,0
hero_cta,1,1,1,0
reviews_readall,1,1,1,0
