# ----------------------------------------
# Página de destino: Página de destino
# Conta: A7 Laundry USA
# Propriedade: A7 Laundry USA
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260622
# Data de término: 20260721
Página de destino,Sessões,Usuários ativos,Novos usuários,Tempo médio de engajamento por sessão,Eventos principais,Receita total,Taxa de eventos principais da sessão
/,69,58,57,18.47826086956522,16,0,0.17391304347826086
(not set),10,3,0,7.2,0,0,0
/vacation,3,1,0,0,0,0,0
/blog/laundry-davenport.html,2,1,1,94,0,0,0
/index.html,2,1,0,1,0,0,0
/laundry-pickup-delivery-orlando,2,2,2,12.5,0,0,0
/plans,2,1,0,46,1,0,0.5
/blog/comforter-cleaning-service-orlando,1,1,1,0,0,0,0
/blog/how-to-clean-comforter,1,1,1,72,0,0,0
/blog/laundry-for-vacation-rental-guests,1,1,1,8,0,0,0
/blog/laundry-international-drive-orlando,1,1,1,39,0,0,0
/blog/lavanderia-a-domicilio-orlando.html,1,1,0,12,0,0,0
/blog/orlando-laundromat-vs-delivery,1,1,1,0,0,0,0
/blog/same-day-laundry-tourists-orlando,1,1,1,29,0,0,0
/carpet,1,1,1,42,0,0,0
/carpet-cleaning.html,1,1,0,0,0,0,0
/plans.html,1,1,0,0,0,0,0
/shoes,1,1,1,14,0,0,0
