# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: A7 Laundry USA
# Propriedade: A7 Laundry USA
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260622
# Data de término: 20260721
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/,75,58,1.293103448275862,19,366,15,0
/blog/laundry-davenport.html,6,1,6,188,25,0,0
/vacation,6,2,3,10.5,24,0,0
/index.html,4,1,4,2,11,0,0
/laundry-pickup-delivery-orlando,4,2,2,14,20,0,0
/plans,3,1,3,92,12,1,0
/plans.html,3,2,1.5,63.5,12,1,0
/blog,1,1,1,7,4,0,0
/blog/airbnb-laundry-service-orlando,1,1,1,10,4,0,0
/blog/comforter-cleaning-service-orlando,1,1,1,0,4,0,0
/blog/family-vacation-laundry-orlando,1,1,1,4,5,0,0
/blog/how-to-clean-comforter,1,1,1,72,5,0,0
/blog/laundry-for-vacation-rental-guests,1,1,1,8,5,0,0
/blog/laundry-international-drive-orlando,1,1,1,39,5,0,0
/blog/lavanderia-a-domicilio-orlando.html,1,1,1,12,3,0,0
/blog/orlando-laundromat-vs-delivery,1,1,1,0,4,0,0
/blog/same-day-laundry-tourists-orlando,1,1,1,29,5,0,0
/carpet,1,1,1,42,6,0,0
/carpet-cleaning.html,1,1,1,0,3,0,0
/shoes,1,1,1,86,17,0,0
/upholstery,1,1,1,1,3,0,0
/blog/laundry-orlando-airport.html,0,1,0,0,1,0,0
/blog/laundry-solara-resort.html,0,0,0,0,2,0,0
