# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: A7 Laundry USA
# Propriedade: A7 Laundry USA
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260622
# Data de término: 20260721
Grupo principal de canais da sessão (Agrupamento de canais padrão),Sessões,Sessões engajadas,Taxa de engajamento,Tempo médio de engajamento por sessão,Eventos por sessão,Contagem de eventos,Eventos principais,Taxa de eventos principais da sessão,Receita total
Direct,47,16,0.3404255319148936,9.787234042553191,4.638297872340425,218,3,0.06382978723404255,0
Organic Search,29,16,0.5517241379310345,33.689655172413794,6.379310344827586,185,7,0.1724137931034483,0
Organic Social,14,10,0.7142857142857143,6.928571428571429,5.571428571428571,78,0,0,0
AI Assistant,8,5,0.625,35.625,6.5,52,7,0.625,0
Unassigned,2,0,0,6,3.5,7,0,0,0
Referral,1,1,1,39,6,6,0,0,0

# Todos os usuários
# Data de início: 20260711
# Data de término: 20260721
Grupo principal de canais da sessão (Agrupamento de canais padrão),Sessões,Sessões engajadas,Taxa de engajamento,Tempo médio de engajamento por sessão,Eventos por sessão,Contagem de eventos,Eventos principais,Taxa de eventos principais da sessão,Receita total
Direct,17,9,0.5294117647058824,18.11764705882353,5.529411764705882,94,3,0.17647058823529413,0
Organic Search,19,9,0.47368421052631576,25.526315789473685,5.473684210526316,104,2,0.05263157894736842,0
Organic Social,6,4,0.6666666666666666,3.6666666666666665,4.166666666666667,25,0,0,0
AI Assistant,8,5,0.625,35.625,6.5,52,7,0.625,0
Unassigned,2,0,0,6,3.5,7,0,0,0
Referral,0,0,0,0,0,0,0,0,0
