"Palavra-chave","Status da coleta","Domínio do URL de visualização","Parcela de impressões","Taxa de sobreposição","Taxa de posição superior","Taxa da parte superior da página","Taxa da 1ª posição na página","Parcela de superação"
"""hotel laundry service""","SEM DADOS DE LEILÃO","","","","","","",""
"""laundry pickup and delivery""","OK","Você","38,91%","—","—","75,70%","30,28%","—"
"""laundry pickup and delivery""","OK","happynest.com","23,26%","38,25%","56,25%","82,00%","27,33%","30,54%"
"""laundry pickup and delivery""","OK","poplin.co","20,62%","32,27%","44,44%","81,20%","27,82%","33,33%"
"""laundry pickup and delivery""","OK","orlandolaundryroom.com","19,53%","32,67%","70,73%","87,30%","46,83%","29,92%"
"""laundry pickup and delivery""","OK","tidecleaners.com","< 10%","7,17%","44,44%","81,82%","59,09%","37,67%"
"""laundry pickup and delivery""","OK","apple.com","< 10%","13,15%","48,48%","73,68%","22,81%","36,43%"
"""laundry service near me""","OK","Você","32,92%","—","—","58,40%","19,47%","—"
"""laundry service near me""","OK","orlandolaundryroom.com","23,27%","41,07%","81,82%","84,91%","60,75%","21,86%"
"""laundry service near me""","OK","poplin.co","11,15%","18,93%","49,30%","79,53%","24,41%","29,85%"
"""laundry service near me""","OK","happynest.com","< 10%","17,07%","35,94%","62,16%","7,21%","30,90%"
"""wash and fold near me""","OK","Você","41,09%","—","—","52,85%","24,46%","—"
"""wash and fold near me""","OK","orlandolaundryroom.com","13,33%","18,76%","80,41%","87,11%","62,11%","34,90%"
"""wash and fold near me""","OK","happynest.com","12,08%","17,49%","37,68%","71,55%","15,52%","38,39%"
"""wash and fold near me""","OK","poplin.co","10,10%","14,45%","43,86%","72,68%","29,38%","38,49%"
"""same day laundry service""","OK","Você","31,21%","—","—","50,00%","25,00%","—"
"""same day laundry service""","OK","tidecleaners.com","11,35%","12,50%","81,82%","68,75%","59,38%","28,01%"
"""same day laundry service""","OK","happynest.com","< 10%","15,91%","42,86%","76,92%","30,77%","29,08%"
"""same day laundry service""","OK","poplin.co","< 10%","7,95%","57,14%","62,50%","25,00%","29,79%"
"""laundry delivery near me""","OK","orlandolaundryroom.com","100,00%","100,00%","90,91%","100,00%","30,77%","7,69%"
"""laundry delivery near me""","OK","Você","84,62%","—","—","100,00%","0,00%","—"
"""laundry delivery near me""","OK","poplin.co","69,23%","72,73%","87,50%","77,78%","55,56%","30,77%"
"""laundry delivery near me""","OK","apple.com","30,77%","18,18%","100,00%","100,00%","100,00%","69,23%"
