Relatório de campanha
19 de julho de 2026 - 17 de agosto de 2026
Dia da semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Valor conv.,Conversões,Taxa de conv.,Custo / conv.,Impr.,Cliques,CTR,Custo,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (class.),Parc impr perd rede de pesquisa (orç)
Domingo,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","3,00","13,64%","113,15",389,22,"5,66%","339,46","29,42%","53,51%","17,07%"
Segunda-feira,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","4,50","20,45%","65,00",374,22,"5,88%","292,50","31,73%","44,73%","23,54%"
Terça-feira,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"246,17","5,00","22,73%","52,89",510,22,"4,31%","264,45","43,43%","52,23%","4,34%"
Quarta-feira,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","3,00","12,50%","88,12",466,24,"5,15%","264,36","36,45%","51,23%","12,32%"
Quinta-feira,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"848,05","11,50","54,76%","24,55",436,21,"4,82%","282,32","36,45%","44,05%","19,49%"
Sexta-feira,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"1.143,66","6,00","21,43%","62,30",427,28,"6,56%","373,80","35,36%","41,24%","23,40%"
Sábado,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","5,00","20,83%","60,82",395,24,"6,08%","304,12","28,90%","52,31%","18,79%"
 --,Total: Campanhas, --, --, --, --,BRL, --,, --, --,"2.237,89","38,00","23,31%","55,82",2.997,163,"5,44%","2121,01","34,37%","48,59%","17,04%"
 --,Total: Campanhas, --, --, --, --,BRL, --,, --, --,0,0, --,0,0,0, --,0, --, --, --
 --,Total: Campanhas, --, --, --, --, --, --,, --, --,0,0, --,0,0,0, --,0, --, --, --
