Relatório de campanha
19 de julho de 2026 - 17 de agosto de 2026
Hora do dia,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Valor conv.,Conversões,Taxa de conv.,Custo / conv.,Impr.,Cliques,CTR,Custo,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (class.),Parc impr perd rede de pesquisa (orç)
0,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"311,15","3,00","50,00%","22,74",66,6,"9,09%","68,23","29,23%","44,62%","26,15%"
1,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","0,00","0,00%","0,00",39,3,"7,69%","38,32","25,41%","49,18%","25,41%"
2,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","0,00","0,00%","0,00",20,0,"0,00%","0,00","34,62%","42,31%","23,08%"
3,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","0,00","0,00%","0,00",14,1,"7,14%","7,74","28,89%","42,22%","28,89%"
4,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","0,00","0,00%","0,00",21,0,"0,00%","0,00","31,75%","42,86%","25,40%"
5,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","0,00","0,00%","0,00",23,0,"0,00%","0,00","42,50%","40,00%","17,50%"
6,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","0,00","0,00%","0,00",31,3,"9,68%","29,88","31,65%","51,90%","16,46%"
7,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","0,00","0,00%","0,00",57,1,"1,75%","6,82","27,92%","46,75%","25,32%"
8,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"0,00","0,00","0,00%","0,00",124,3,"2,42%","31,02","35,19%","41,81%","23,00%"
9,Ativada,A7 | Search | Guest Laundry | Orlando | EN | JUL26,"150,00", --,Diário,BRL,Qualificado (limitado),limitada pelo volume de pesquisas,"71,88",Pesquisa,"614,69","8,50","50,00%","20,85",266,17,"6,39%","177,21","38,70%","38,15%","23,15%"
