Relatório de atividade de faturamento
1 de junho de 2026 - 18 de agosto de 2026
Data,Tipo,Descrição,Interações,Custos,Créditos,Saldo atual
18 de ago. de 2026,Campanhas,A7 | Search | Guest Laundry | Orlando | EN | JUL26,4 cliques,"-R$98,76","R$0,01","R$30,39"
17 de ago. de 2026,Campanhas,A7 | Search | Guest Laundry | Orlando | EN | JUL26,11 cliques,"-R$183,33","R$0,00","R$129,14"
16 de ago. de 2026,Campanhas,A7 | Search | Guest Laundry | Orlando | EN | JUL26,9 cliques,"-R$187,60","R$0,02","R$312,47"
16 de ago. de 2026,Pagamentos,Pagamento manual: Pix, --, --,"R$500,00","R$500,05"
16 de ago. de 2026,Pagamentos,"Número de referência gerado: 00020101021226740014br.gov.bcb.pix2552pix.ebanx.com/qr/v2/BE0F8580D738C244C264BE66A6AC57E85204000053039865802BR5925Google Brasil Internet LT6009SAO PAULO62070503***6304F3C1 para R$ 500,00", --, --,"R$0,00","R$0,05"
15 de ago. de 2026,Campanhas,A7 | Search | Guest Laundry | Orlando | EN | JUL26,6 cliques,"-R$142,67","R$0,00","R$0,05"
14 de ago. de 2026,Campanhas,A7 | Search | Guest Laundry | Orlando | EN | JUL26,9 cliques,"-R$173,30","R$0,00","R$142,72"
13 de ago. de 2026,Campanhas,A7 | Search | Guest Laundry | Orlando | EN | JUL26,8 cliques,"-R$147,13","R$0,00","R$316,02"
13 de ago. de 2026,Pagamentos,Pagamento manual: Pix, --, --,"R$250,00","R$463,15"
13 de ago. de 2026,Pagamentos,"Número de referência gerado: 00020101021226740014br.gov.bcb.pix2552pix.ebanx.com/qr/v2/99B22CC4A0AEAB3B6460E3E94E76E1E35204000053039865802BR5925Google Brasil Internet LT6009SAO PAULO62070503***6304AC95 para R$ 250,00", --, --,"R$0,00","R$213,15"
12 de ago. de 2026,Campanhas,A7 | Search | Guest Laundry | Orlando | EN | JUL26,10 cliques,"-R$104,56","R$0,01","R$213,15"
