Relatório de palavras-chave da rede de pesquisa
19 de julho de 2026 - 17 de agosto de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Grupo de anúncios,Status,Motivos do status,Conversões,Código da moeda,Custo / conv.,URL final,Impr.,CTR,Custo,Parcela impr rede de pesquisa,IS parte sup. pesq.,IS 1ª posição pesq.,Parc impr perd rede de pesquisa (class.),Índice de qualidade,CTR esper.,Exp. na página de destino,Relevância do anúncio,Valor conv.,CPC méd.,Código da moeda convertida,Est. de lance de primeira página,Est. de lance de primeira posição,Estimativa de lance na parte superior da página
Ativado,"""airbnb laundry pickup""",Correspondência de frase,Airbnb Guest Laundry,Qualificado,,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""laundry service for airbnb guests""",Correspondência de frase,Airbnb Guest Laundry,Não qualificado,raramente exibido,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,[vacation rental guest laundry orlando],Correspondência exata,Airbnb Guest Laundry,Não qualificado,raramente exibido,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""laundry pickup airbnb orlando""",Correspondência de frase,Airbnb Guest Laundry,Não qualificado,raramente exibido,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""vacation rental laundry""",Correspondência de frase,Airbnb Guest Laundry,Qualificado,,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""guest laundry service""",Correspondência de frase,Airbnb Guest Laundry,Qualificado,,"0,00",BRL,"0,00",,0, --,"0,00",< 10%,< 10%,< 10%,"80,00%", --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""airbnb laundry service""",Correspondência de frase,Airbnb Guest Laundry,Qualificado,,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""vacation laundry pickup orlando""",Correspondência de frase,Airbnb Guest Laundry,Não qualificado,raramente exibido,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,[airbnb laundry service orlando],Correspondência exata,Airbnb Guest Laundry,Não qualificado,raramente exibido,"0,00",BRL,"0,00",,0, --,"0,00", --, --, --, --, --, --, --, --,"0,00",0,BRL, --, --, --
Ativado,"""vacation laundry service""",Correspondência de frase,Airbnb Guest Laundry,Qualificado,,"0,00",BRL,"0,00",,0, --,"0,00",< 10%,< 10%,< 10%,> 90%, --, --, --, --,"0,00",0,BRL, --, --, --
