Relatório de termos de pesquisa
19 de julho de 2026 - 17 de agosto de 2026
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
laundrymate near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
overnight dry cleaner near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
full service laundry,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
quick dry cleaners near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry drop off service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
same day dry cleaners,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
fast dry cleaning near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundrettes near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry subscription,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,1,1,"100,00%",BRL,"12,04","12,04","0,00%","0,00","0,00"
laundry orlando international drive,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry service lakeland,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
wash house near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,8,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
mobile laundry services,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
wash dry and fold near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry kirkman,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundromats near me open now,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
wash and fold laundry service near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,7,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
places that wash clothes near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
orlando laundry room,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
how much for wash and fold service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
crown laundry near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
pick up laundry service,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
clothing cleaners near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
wash and fold near me,Correspondência exata,Adicionado,Hotel Guest Laundry,3,29,"10,34%",BRL,"10,39","31,17","66,67%","2,00","15,59"
how much is laundry service,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry in orlando,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
washing near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
any dry cleaners open on sunday near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry care wash and fold,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry companies near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
outsourcing laundry for college,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
public laundry near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,1,5,"20,00%",BRL,"32,66","32,66","100,00%","1,00","32,66"
laundry near me within 5 mi,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry service wash and fold near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
cleaners for comforters near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
fluff and fold,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
launderette near me,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry express near me,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
rosen shingle creek laundry,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
orlando cleaners 24 7 lake nona,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
best laundry service app,Correspondência de frase (variação aproximada),Nenhum,Hotel Guest Laundry,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
laundry services,Correspondência exata (variante aproximada),Nenhum,Hotel Guest Laundry,0,11,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
