url_path	source_file	lastmod	incoming_internal_links	title	h1	canonical	faq_schema	breadcrumb_schema	whatsapp_ctas	sms_ctas	telephone_links	funnel_codes	automated_flags	provisional_action
/	index.html	2026-07-25	92	Guest Laundry Pickup in Orlando | Hotels & Airbnbs | A7 Laundry	Enjoy Orlando. We handle the laundry.	https://a7laundry.com/	no	no	7	0	0		normalTerminology|freeFraming|remoteUi	REFRESH_P2
/about	about.html	2026-07-25	2	About A7 Laundry Orlando | Guest Laundry Pickup & Delivery	Guest laundry built around your Orlando stay.	https://a7laundry.com/about	no	yes	2	1	0		normalTerminology	KEEP_REVIEW_FACTS
/laundry-pickup-delivery-orlando	laundry-pickup-delivery-orlando.html	2026-08-22	86	Laundry Pickup & Delivery Orlando for Travelers | A7	Laundry pickup in Orlando. Your plans keep moving.	https://a7laundry.com/laundry-pickup-delivery-orlando	yes	yes	3	2	1	SEO-ORLANDO-MONEY-V2		KEEP_VALIDATED
/plans	plans.html	2026-04-10	68	A7 Laundry | Laundry Pickup & Delivery — Orlando, Kissimmee, Lake Nona	We handle the laundry. You enjoy Orlando. A gente cuida da lavanderia. Você curte Orlando. Nosotros hacemos la lavandería. Tú disfrutas Orlando.	https://a7laundry.com/	yes	no	10	0	1		normalTerminology|freeFraming|absoluteExpress|absoluteStandard|remoteUi	REFRESH_P0
/comforter	comforter-cleaning.html	2026-04-10	80	A7 Laundry Orlando | Professional Comforter Cleaning	STOP SLEEPING WITH A DIRTY COMFORTER. PARE DE DORMIR COM UM EDREDOM SUJO. DEJA DE DORMIR CON UN EDREDÓN SUCIO.	https://a7laundry.com/comforter	yes	no	2	0	3		freeFraming|remoteUi	SEPARATE_SERVICE_SCOPE_REVIEW
/carpet	carpet-cleaning.html	2026-04-10	12	A7 Laundry Orlando | Professional Carpet Cleaning	Bring Your Carpet Back to Fresh. Deixe Seu Carpete Limpo e Renovado. Devuelve la Frescura a Tu Alfombra.	https://a7laundry.com/carpet	yes	no	4	0	14		normalTerminology|freeFraming|remoteUi	SEPARATE_SERVICE_SCOPE_REVIEW
/shoes	shoe-cleaning.html	2026-04-10	8	A7 Laundry Orlando | Professional Shoe Cleaning	Your $200 Sneakers Look Like $20 Fakes. Seus Tênis de $200 Parecem Falsificações de $20. Tus Zapatillas de $200 Parecen Falsificaciones de $20.	https://a7laundry.com/shoes	yes	no	4	0	10		freeFraming|remoteUi	SEPARATE_SERVICE_SCOPE_REVIEW
/upholstery	upholstery-cleaning.html	2026-04-10	12	A7 Laundry Orlando | Professional Upholstery Cleaning	Bring Your Sofa Back to Fresh & Comfortable. Deixe Seu Sofá Fresco e Aconchegante. Devuelve a Tu Sofá Su Frescura y Comodidad.	https://a7laundry.com/upholstery	yes	no	4	0	10		normalTerminology|freeFraming|remoteUi	SEPARATE_SERVICE_SCOPE_REVIEW
/vacation	vacation-rental.html	2026-04-10	13	A7 Laundry Orlando | Vacation Rental Turnover & Linen Support	One Bad Review About Dirty Linens Kills Your Booking Rate. Uma Avalia&ccedil;&atilde;o Ruim Sobre Roupas de Cama Sujas Acaba com Suas Reservas. Una Mala Rese&ntilde;a Sobre S&aacute;banas Sucias Mata Tu Tasa de Reservas.	https://a7laundry.com/vacation	yes	no	6	0	10		remoteUi	SEPARATE_SERVICE_SCOPE_REVIEW
/service-areas	service-areas.html	2026-06-29	71	Laundry Pickup & Delivery Service Areas in Orlando | A7 Laundry	Where We Pick Up & Deliver in Orlando	https://a7laundry.com/service-areas	no	yes	5	2	1		remoteUi	KEEP_REVIEW_FACTS
